OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
141,92000242,PEACH KNOB MOVE                                   ,CLOSED,GS   (GEN SERV),,2021/02/25 00:00:00+00,43644.69,43644,11516,"MOTOROLA SOLUTIONS, INC.",140
142,91400042,BELE CHERE SECURITY                               ,CLOSED,LW   (DON'T USE),,2013/10/04 00:00:00+00,33300,33240.25,8553,"AXIS SECURITY, INC.",141
143,91700183,UNITED WAY OF ASHEVILLE NC211 SPC  FY 16-17       ,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2019/06/13 00:00:00+00,2000,2000,2706,UNITED WAY OF ASHEVILLE & BUNC,142
144,92100280,WALTON ST. PARKBOULDER PLACEMENT                  ,CLOSED,CON  (CONSTUCT/R),,2021/02/17 00:00:00+00,23250,23250,5260,"B ALLEN CONSTRUCTION, INC.",143
145,92200202,S. BUNCOMBE PS GENERATOR REPAIR                   ,CREATED,GS   (GEN SERV),,2021/10/15 00:00:00+00,22203.5,22203.5,3385,CUMMINS ATLANTIC LLC,144
146,91400144,MILLS RIVER WATERSHED BEST MGT PRACTICES          ,CLOSED,GS   (GEN SERV),,2017/05/10 00:00:00+00,180000,179748.25,18103,MILLS RIVER PARTNERSHIP,145
147,91100546,FABRICATE AND INSTALL DIRECTIONAL SIGNS IN GARAGES,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,600,416,8963,LETTERING BY LARRY COLEMON INC,146
148,91500278,ASPHALT PAVEMENT IMPROVEMENTS FY15                ,CLOSED,CON  (CONSTUCT/R),,2016/04/28 00:00:00+00,2000000,1813269.14,11820,ROGERS GROUP,147
149,91600129,ANNUAL VIBRATION AND INFRARED SERVICE WTP         ,CLOSED,GS   (GEN SERV),,2015/10/06 00:00:00+00,7910,7910,19145,"CRIMSON ELECTRIC, INC.",148
150,91700088,PARKING GARAGE STAIRWELL POWER WASHING            ,CLOSED,GS   (GEN SERV),,2018/05/14 00:00:00+00,25000,24260,22198,CHRISTY LONDON,149
151,91600167,DEVELOPE A BUSINESS MODEL FOR P&R/RECREATION      ,CLOSED,GS   (GEN SERV),,2016/09/19 00:00:00+00,39949,39948.5,23151,"110%, INC.",150
152,91000299,TOWN MOUNTAIN TANK & PUMP ST BOND PROJECT         ,CLOSED,CON  (CONSTUCT/R),,2011/03/10 00:00:00+00,312802.5,348611.16,397,BUCKEYE CONSTRUCTION,151
153,91000216,                                                  ,CLOSED,GS   (GEN SERV),,2010/01/28 00:00:00+00,1110,1110,148,ASHEVILLE CITY SCHOOLS,152
154,91100581,INFLATABLE FOR HOLIDAY CAMP CARNIVAL              ,CLOSED,GS   (GEN SERV),,2010/11/23 00:00:00+00,200,200,10142,PAR-T-PERFECT/DOUGLAS HUTCHINS,153
155,91800227,PUBLIC WORKS BUILDING LED UPGRADE                 ,CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,55937.76,53316.95,17803,LIME ENERGY SERVICES CO.,154
156,91800167,LEVEL 1 FIBER ETHERNET TERMINATIONS FOR THE USCC  ,CLOSED,GS   (GEN SERV),,2018/05/29 00:00:00+00,22279.5,22279.5,21051,"BROOKS NETWORK SERVICES, LLC",155
157,91300043,BELE CHERE GOLF CART RENTALS                      ,CLOSED,RNT  (EQUIP RENT),,2012/07/06 00:00:00+00,5330,5330,5101,GNB DBA CAROLINA GOLF CARS,156
158,91100381,RETAINER FOR EMERGENCY REPAIRS- P & R             ,CLOSED,GENERAL,,2012/06/29 00:00:00+00,5325,5153.42,5160,HAYES & LUNSFORD ELECT,157
159,91300292,MONTFORD GYM LIGHT REPLACEMENT                    ,CLOSED,CON  (CONSTUCT/R),,2014/06/13 00:00:00+00,9375,9375,4142,GRIGG ELECTRIC CO. INC,158
160,91400074,NCDOT I-26 / NC 280 AIRPORT RD INTERCHANGE I-5501 ,CLOSED,CON  (CONSTUCT/R),,2017/05/10 00:00:00+00,164000,342945.9,1881,NC DEPT OF TRANSPORTATION,159
161,91700367,GARAGE ELEVATOR MODERNIZATION                     ,CLOSED,CON  (CONSTUCT/R),,2019/11/27 00:00:00+00,355000,330612,10485,"PATTON CONSTRUCTION GROUP, INC.",160
162,91100457,WEED & SEED RESOURCE PROVIDER                     ,CLOSED,GS   (GEN SERV),,2010/09/27 00:00:00+00,3500,3500,7734,LEAF GLOBAL ARTS,161
163,92000080,DIRECT ALLOCATION FROM CITY COUNCIL YMI UTILITIES ,CLOSED,GS   (GEN SERV),,2019/07/19 00:00:00+00,24000,24000,2935,YMI CULTURAL CENTER,162
164,91600056,MISSION NICOTINE DEPENDANCE PROGRAM               ,CLOSED,GS   (GEN SERV),,2019/05/09 00:00:00+00,9200,0,1726,MISSION HOSPITALS,163
165,91000666,UPPER WHITE FAWN SPLIT A/C UNIT REPLACEMENT       ,CLOSED,GENERAL,,2010/08/19 00:00:00+00,3924,5886,2152,R & W INC,164
166,91400301,"ART PROJECT, BITLMORE AVENUE GARAGE               ",CLOSED,GS   (GEN SERV),,2015/06/23 00:00:00+00,25000,25641.26,19025,IAN WILKINSON,165
167,91600067,BROKERAGE SERVICES FOR REAL PROPERTY ACQ./DISP.   ,CLOSED,GS   (GEN SERV),,2018/06/07 00:00:00+00,5000,0,22089,"WHITNEY COMMERCIAL REAL ESTATE, LLC",166
168,91100554,REMOVE AND REPAIR FENCE AT WNC NATURE CENTER      ,CLOSED,GS   (GEN SERV),,2010/11/10 00:00:00+00,10000,10000,193,ASHEVILLE CONTRACTING COMPANY,167
169,91200226,JANITORIAL SERVICES FOR THE WNC NATURE CENTER     ,CLOSED,GS   (GEN SERV),,2012/01/20 00:00:00+00,6120,6120,8820,"C & C BUSINESSES, INC.",168
170,91000440,INSTALL EXCLUSION GATES AND TIED WILLOW HIDE      ,CLOSED,CON  (CONSTUCT/R),,2010/06/23 00:00:00+00,5948.34,7848.34,585,CAROLINA CORNERSTONE CONSTRUCT,169
171,91200258,KENILWORTH & OAKLEY TENNIS COURT TESTING          ,CLOSED,PRO  (PRO SERVIC),,2015/06/09 00:00:00+00,4500,6956,3261,FROEHLING & ROBERTSON INC,170
172,91400265,ADDING FUNDS FOR EXISTING INVOICE FOR PROMOTIONAL ,CLOSED,GS   (GEN SERV),,2015/06/09 00:00:00+00,20000,25795,10877,DEVELOPMENTAL ASSOCIATES,171
173,91200231,CHEROKEE SUNSET WALL REPLACEMENT                  ,CLOSED,PRO  (PRO SERVIC),,2013/11/12 00:00:00+00,75000,70000,9156,MICHAEL BAKER ENGINEERING INC,172
174,91100065,BC HEADLINER - SOUTHERN CULTURE ON THE SKIDS      ,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,5000,5000,10702,SCOTS SOUND. INC.,173
175,91700220,BOWEN NATIONAL RESEARCH - AFFORDABLE HOUSING UPDAT,CLOSED,GS   (GEN SERV),SERVICE,2017/06/08 00:00:00+00,4400,4400,19827,"BOWEN NATIONAL RESEARCH, LLC",174
176,92000095,UNITED WAY 211: EMERGENCY NOTIFICATION CENTER - CO,POSTED,GS   (GEN SERV),,2021/06/08 00:00:00+00,6000,12000,2706,UNITED WAY OF ASHEVILLE & BUNC,175
177,91200322,REMAINING BALANCE OF CONTRACT FOR MERCURY COMMERCE,CLOSED,GS   (GEN SERV),,2015/06/16 00:00:00+00,3112.5,0,9022,MERCURY COMMERCE-ESM SOLUTIONS,176
178,91000566,TENNIS OFFICIAL/TOURNAMENT DIRECTOR               ,CLOSED,GS   (GEN SERV),,2010/05/18 00:00:00+00,3000,3000,836,JANET LAMPKIN,177
179,92200288,INTERLOCAL AGREEMENT - HOMEOWNER TAX REBATE GRANT ,POSTED,GS   (GEN SERV),AGREEMENT,2022/01/11 00:00:00+00,150000,150000,416,BUNCOMBE COUNTY FINANCE DEPT,178
180,91000501,LANDSCAPING IN EXISTING MEDIANS IN DOWNTOWN       ,CLOSED,CON  (CONSTUCT/R),,2010/04/14 00:00:00+00,121000,121000,10329,LANDMARK LANDSCAPES,179
181,91300100,SIRE HOSTING FEE                                  ,CLOSED,GS   (GEN SERV),,2016/06/23 00:00:00+00,93550.7,106400.7,15264,"HYLAND SOFTWARE, INC",180
182,91700166,TEMPORARY CIVIL ENGINEERING TECH                  ,CLOSED,GS   (GEN SERV),,2018/05/23 00:00:00+00,29200,52379.48,25805,"ALLEGIS GROUP HOLDINGS, INC",181
183,91000552,GENERATOR REPAIRS FOR NORTH FORK WTP              ,CLOSED,GENERAL,,2010/05/10 00:00:00+00,3898.54,3898.54,7342,CAROLINA TRACTOR & EQUIPMENT COMPANY,182
184,91300173,FALL 2012 CULTURE OF LEADERSHIP                   ,CLOSED,GS   (GEN SERV),,2012/11/01 00:00:00+00,8500,8500,10877,DEVELOPMENTAL ASSOCIATES,183
185,91200259,SARDIS ROAD ANNEXATION SEWER IMPROVEMENTS         ,CLOSED,CON  (CONSTUCT/R),,2013/11/12 00:00:00+00,719610,639159,11334,"T&K UTILITIES, INC.",184
186,91800383,CONTRACT ENGAGEMENT CONTRACT                      ,CLOSED,GS   (GEN SERV),,2020/06/26 00:00:00+00,15500,15500,29854,"WITHERSRAVENEL, INC.",185
187,92100218,MOSSWOOD MHP REPAIRS                              ,CLOSED,CON  (CONSTUCT/R),,2021/05/20 00:00:00+00,10726.55,10726.55,11334,"T&K UTILITIES, INC.",186
188,91000520,"PO # 101058 IN HTE, INCREASE FUNDS. DOORMAT SERVIC",CLOSED,GS   (GEN SERV),,2010/09/16 00:00:00+00,900,3516,5814,UNIFIRST CORPORATION,187
189,91000174,INSTRUCTOR FOR FOLK AND CLASSICAL DANCE           ,CLOSED,INS  (INSTRUCTOR),,2010/08/19 00:00:00+00,960,960,10020,"HARRIS, SHEEVA K.",188
190,91800409,SWANNANOA DESIGN/STUDY PHASE II AND II            ,CLOSED,PRO  (PRO SERVIC),,2020/04/27 00:00:00+00,60000,74420.95,14246,"EQUINOX ENVIRON. CONSULT. & DESIGN, INC",189
191,91700332,IBM I2 ANALYST NOTEBOOK LICENSES FOR CRIME ANALYST,CLOSED,GS   (GEN SERV),,2017/08/10 00:00:00+00,12259,12259,26659,BLUE LIGHT LLC      ,190
192,91000628,PROJECT MGT DOWNTOWN MASTER PLAN-TRANSITIONAL PHAS,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,22500,22500,8332,SASHA ALEXANDRA VRTUNSKI,191
193,91900397,HOUSING AUTHORITY LEE WALKER HEIGHTS FUNDING AGREE,CLOSED,GS   (GEN SERV),AFFORDABLE HOUSE,2021/06/11 00:00:00+00,4200000,4200000,1203,HOUSING AUTHORITY OF THE CITY OF ASHEVILLE,192
194,92200104,AUTOCAD SOFTWARE LICENSE RENEWAL COA              ,CLOSED,GS   (GEN SERV),,2021/08/05 00:00:00+00,8850.6,8850.6,10547,DLT SOLUTIONS,193
195,92100332,ON-CALL/AS NEEDED PARCS MAINTENANCE               ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,15000,15000,18114,"CAROLINA TIME EQUIPMENT CO., INC.",194
196,92200105,AUTOMATIC VEHICLE LOCATOR SOFTWARE ADDT'L FUNDS   ,POSTED,GS   (GEN SERV),,2021/08/23 00:00:00+00,13873,25000,36502,PRECISE MRM LLC,195
197,91800324,SPRING PLANTING CONTRACT                          ,CLOSED,GS   (GEN SERV),,2019/05/02 00:00:00+00,8884.09,8467.58,4077,SNOW CREEK LANDSCAPING LLC,196
198,91800414,INSTALL BOILER IN PW BUILDING                     ,CLOSED,CON  (CONSTUCT/R),,2019/05/01 00:00:00+00,69067,69067,1307,H & M CONSTRUCTORS,197
199,91800135,HD ASSESMENT FOR 6TH FLOOR STORAGE                ,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2018/06/12 00:00:00+00,8000,4800,8280,"ECS SOUTHEAST, LLP",198
200,91600078,GEO WORK FOR SWANNANOA FLOOD RISK MGMT PROJECT    ,CLOSED,PRO  (PRO SERVIC),,2016/06/06 00:00:00+00,49575,49569.23,4575,BUNNELL-LAMMONS ENGINEERING,199
201,91900395,ASHEVILLE MIDDLE SCHOOL ATHLETIC FIELD IMPROVEMENT,CLOSED,CON  (CONSTUCT/R),,2020/01/02 00:00:00+00,665000,618385,32159,"BASELINE SPORTS CONSTRUCTION, LLC",200
202,92000266,ANNUAL ENTRY-LEVEL TEST MATERIAL (FIRE AND POLICE),POSTED,GS   (GEN SERV),,2022/01/24 00:00:00+00,5000,15000,8204,FIRE & POLICE SELECTION INC,201
203,91900201,MILLS RIVER WTP ROOF REPLACE & STRUCTURAL IMPROVE ,CLOSED,CON  (CONSTUCT/R),,2019/12/18 00:00:00+00,1932782,1949313.56,585,CAROLINA CORNERSTONE CONSTRUCT,202
204,91100768,DAM SAFETY INSPECTIONS FOR NORTH FORK & BEE TREE  ,CLOSED,GENERAL,,2011/08/10 00:00:00+00,15900,15900,4596,SCHNABEL ENGINEERING SOUTH PC,203
205,91100770,RFP#ATS-R-10152010-REPLACEMENT-TRANSIT GARAGE ROOF,CLOSED,PRO  (PRO SERVIC),,2012/09/05 00:00:00+00,9550,9550,11797,"REI ENGINEERS, INC.",204
206,91500303,REPLACEMENT OF 6 CW COILS IN EXHIBIT HALL OF USCC ,CLOSED,GS   (GEN SERV),,2016/04/01 00:00:00+00,72037.46,72037.46,21287,"TRANE US, INC.",205
207,92000390,ANNUAL LICENSE FEE/SERVICE AGREEMENT              ,CLOSED,GS   (GEN SERV),,2020/06/18 00:00:00+00,13125,13125,1987,OPEX CORPORATION,206
208,91300041,ANNUAL AUDIT FY 2011-12 DIXON HUGHES GOODMAN      ,CLOSED,GS   (GEN SERV),,2012/09/07 00:00:00+00,95000,95000,673,DIXON HUGHES PLLC,207
209,91300186,RADIO DISPATCHERS PER ADD. 2 TO INTERGOV'T AGRMT  ,CLOSED,GENERAL,,2012/11/28 00:00:00+00,168195,168195,416,BUNCOMBE COUNTY FINANCE DEPT,208
210,91300243,BELE CHERE HOTEL ROOMS FOR CREW                   ,CLOSED,GS   (GEN SERV),,2013/03/25 00:00:00+00,8671.32,8671.32,9094,SKYLAND INN LLC,209
211,91900326,CAROLINA SMALL BUSINESS DEV. BUS TRAIN FY18-19    ,CLOSED,HUD (GEN SERV-HUD),CDBG,2019/07/30 00:00:00+00,57660,57660,20617,CAROLINA SMALL BUSINESS DEVELOPMENT FUND,210
212,92200134,PW BUILDING A ROOF REPLACEMENT                    ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,496400,496400,30700,"J BARTHOLOMEW CONSTRUCTION, LLC",211
213,91300139,FILLING PROPANE TANKS AT PUMP SITES- WATER PRODUCT,CLOSED,GS   (GEN SERV),,2015/06/10 00:00:00+00,16000,11002.75,8768,SOUTHERN STATES COOPERATIVE,212
214,91300296,JULY 4TH EQUPIMENT RENTAL                         ,CLOSED,RNT  (EQUIP RENT),,2013/07/24 00:00:00+00,185,185,4007,HERC RENTALS INC,213
215,92200326,NMG WECAN GARDEN IMPROVEMENTS                     ,CREATED,GS   (GEN SERV),,2022/02/23 00:00:00+00,2500,2500,38588,"WEST END CLINGMAN AVENUE NEIGHBORHOOD, INC",214
216,91700044,DESIGN OF PED SIGNALS&ADA ACCESS PUSH BUTTON      ,CLOSED,PRO  (PRO SERVIC),,2017/06/09 00:00:00+00,9850,9850,1754,MATTERN & CRAIG,215
217,91100271,BC10 STAGE CREW                                   ,CLOSED,GS   (GEN SERV),,2010/07/30 00:00:00+00,240,240,9099,WILLIAM LEE CLARKE,216
218,92000083,TIP: SUPPORT SERVICES FOR TRAUMA VICTIMS -        ,POSTED,GS   (GEN SERV),,2021/10/15 00:00:00+00,10465,31395,23770,"TRAUMA INTERVENTION PROGRAMS, INC.",217
219,92000268,NATURE CENTER BUTTERFLY EXHIBIT                   ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,26500,70000,33544,"SZOSTAK DESIGN, INC.",218
220,92000406,SDO AGRMT PYMT 1 OF 5 FOR HOLIDAY LIGHT DECORS 1  ,CLOSED,GS   (GEN SERV),MULTI-YEAR,2020/06/25 00:00:00+00,3347.98,3347.98,6812,NC ARBORETUM SOCIETY,219
221,91300031,"GROUNDS MAINTENANCE FOR NORTH, EAST AND CENTRAL   ",CLOSED,GS   (GEN SERV),,2013/10/24 00:00:00+00,125600,123431.61,6055,RIVERTOP CONTRACTING INC,220
222,91100336,WEED & SEED RESOURCE PROVIDER                     ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,1500,1500,560,ONTRACK FINANCIAL ED & COUNSEL,221
223,91400057,CONTINUATION OF SERVICES FOR FY 2013-14           ,CLOSED,GS   (GEN SERV),,2015/06/02 00:00:00+00,903245,903245,416,BUNCOMBE COUNTY FINANCE DEPT,222
224,91600302,DESIGN OF STORMWATER SYSTEM OFF OF HAITH DRIVE    ,CLOSED,PRO  (PRO SERVIC),,2017/08/07 00:00:00+00,6150,6150,2751,"VAUGHN & MELTON CONSULTING ENGINEERS,INC.",223
225,91800239,TRAIL MAINTENANCE & CLEARING                      ,CLOSED,GS   (GEN SERV),,2019/06/13 00:00:00+00,16400,18180,29072,AMERICAN CONSERVATION EXPERIENCE,224
226,91900042,ON-CALL BUILDING ENVELOPE PROFESSIONAL SERVICES   ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,0.01,0.01,29523,"TERRACON CONSULTANTS, INC",225
227,91900332,MOUNTAINBIZ WORKS - SMALL BUSINESS - FY 18-19     ,CLOSED,HUD (GEN SERV-HUD),CDBG,2019/06/28 00:00:00+00,57660,57660,7947,MOUNTAIN BIZWORKS INC,226
228,91900386,POOL PREPARATION SFOR SEASON                      ,CLOSED,CON  (CONSTUCT/R),,2019/06/28 00:00:00+00,27990,27990,13352,"LEGACY COMMERCIAL POOL SERVICES, INC.",227
229,91300072,BELE CHERE ENTERTAINMENT                          ,CLOSED,ENT  (ENTERTAIN),,2013/04/15 00:00:00+00,11500,0,14769,"DR. DOG, LLC",228
230,91700259,CEDAR STREET BRIDGE REPAIR                        ,CLOSED,CON  (CONSTUCT/R),,2018/02/08 00:00:00+00,295685,344851,24009,"BUCKEYE BRIDGE, LLC ",229
231,92200194,GREENBONE - VULNERABILITY SCANNER YEAR ONE        ,CLOSED,GS   (GEN SERV),,2021/12/20 00:00:00+00,13823.57,13823.57,35773,"NEW NET TECHNOLOGIES, LLC",230
232,91300156,PW 1ST FLOOR CONTROLLERS                          ,CLOSED,GS   (GEN SERV),,2012/10/11 00:00:00+00,18962,18962,5519,"JOHNSON CONTROLS, INC.",231
233,91700051,INSPECTION & TESTING FOR HENDERSONVILLE SIDEWALK  ,CLOSED,PRO  (PRO SERVIC),,2018/07/17 00:00:00+00,231238.51,207452.81,2751,"VAUGHN & MELTON CONSULTING ENGINEERS,INC.",232
234,91100837,OAKLEY FIELD LIGHT REPAIRS                        ,CLOSED,GS   (GEN SERV),,2011/08/26 00:00:00+00,5777,5777,1188,M B HAYNES CORPORATION,233
235,91200254,AWNING FOR CNG STATION EQUIPMENT                  ,CLOSED,GS   (GEN SERV),,2012/02/21 00:00:00+00,10971,10971,13640,AIRVENT EXTERIORS,234
236,91900244,MAINT. SUPPORT                                    ,CLOSED,GS   (GEN SERV),,2020/06/17 00:00:00+00,15000,10801,19437,"WEST CAROLINA FREIGHTLINER, LLC",235
237,91100813,TENNIS OFFICIAL - DARLA FOGLE                     ,CLOSED,GS   (GEN SERV),,2011/07/29 00:00:00+00,750,750,8097,DARLA FOGLE,236
238,91200124,DR PAUL MARTIN CONTRACT 2011-12                   ,CLOSED,GENERAL,,2012/06/28 00:00:00+00,120000,120000,1694,ASHEVILLE ADDICTION CONSULTANT,237
239,91000218,BRIDGE INSPECTION MUNICIPLE AGREEMENT             ,CLOSED,PRO  (PRO SERVIC),,2011/02/25 00:00:00+00,16120,16374.35,1881,NC DEPT OF TRANSPORTATION,238
240,91100042,CHANGE VENDOR # FROM 94 TO 3213                   ,CLOSED,GS   (GEN SERV),,2010/08/30 00:00:00+00,2000,1535.72,94,ROTARY INTERNATIONAL,239
241,91800194,ASHEVILLE CITY SCHOOLS FOUNDATION IRL SPF FY 17-18,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2018/08/14 00:00:00+00,45000,45000,10229,THE ASHEVILLE CITY SCHOOLS FOUNDATION,240
242,92100334,MULTI SITE MONIT & INSPEC STATE CONTRACT #838A FIR,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,36555.91,36555.91,17365,JOHNSON CONTROLS SECURITY SOLUTIONS,241
243,92100372,FY 20/21 CHANGING TOGETHER                        ,POSTED,HUD (GEN SERV-HUD),CDBG,2021/08/20 00:00:00+00,74542,74542,28558,SPARC FOUNDATION INC,242
244,91200335,ROOF REPAIR AT STATION 11                         ,CLOSED,GS   (GEN SERV),,2012/09/05 00:00:00+00,14178,14178,4174,CAROLINA MOUNTAIN ROOFING,243
245,91200280,4 TON COMPRESSOR MCCORMICK FIELD                  ,CLOSED,CON  (CONSTUCT/R),,2012/03/21 00:00:00+00,7441,7441,11641,*** DO NOT USE ** USE VENDOR # 1188,244
246,91000572,EMERGENCY USE IF NEEDED FOR FLOOD GATE FAILURE    ,CLOSED,GENERAL,,2014/01/13 00:00:00+00,1030,0,8560,CAMPBELL CRANE,245
247,91800229,NRW PROGRAM CUSTOMER VAULT RENEWALS 2018          ,CLOSED,PRO  (PRO SERVIC),,2019/06/28 00:00:00+00,89545,89545,4203,CAVANAUGH & ASSOCIATES PA,246
248,91100838,MUNIS FILE UPLOAD IMPLEMENTATION                  ,CLOSED,GS   (GEN SERV),,2011/06/17 00:00:00+00,6000,6000,4282,CREDITRON DBA PUREPAY RECEIVA,247
249,91300172,YWCA OF ASHEVILLE & WNC OUTSIDE AGENCY GRANT 12-13,CLOSED,GS   (GEN SERV),,2012/10/25 00:00:00+00,8000,8000,2926,Y W C A,248
250,91200289,36 MONTH SMARTNET MAINTENANCE                     ,CLOSED,LW   (DON'T USE),,2014/05/20 00:00:00+00,25191.12,66342,13965,"CONTINUANT, INC.",249
251,92000498,APPRAISAL - 65 FORD STREET                        ,CLOSED,GS   (GEN SERV),,2020/08/11 00:00:00+00,2400,2400,34950,ACE APPRAISALS,250
252,91800334,BOND BUS SHELTERS                                 ,CLOSED,CON  (CONSTUCT/R),,2018/08/14 00:00:00+00,59389,59389,16421,"ALLISON CONTRACTORS, LLC",251
253,91200271,REPAIR FOR OZONE GENERATOR AT MILLS RIVER WTP     ,CLOSED,GS   (GEN SERV),,2013/05/30 00:00:00+00,10000,9999.18,11487,OZONIA NORTH AMERICA,252
254,91800269,CRIME STOPPERS - CONTINUATION OF SERVICES FOR FY19,CLOSED,GS   (GEN SERV),,2018/08/14 00:00:00+00,43599,46575.47,416,BUNCOMBE COUNTY FINANCE DEPT,253
255,91100036,BC ENTERTAINER-THE HIP ABDUCTION                  ,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,350,350,9034,"DAVID NEW, III",254
256,91200245,EXT WINDOW CLEANING CIVIC CENTER                  ,CLOSED,GS   (GEN SERV),,2012/02/13 00:00:00+00,7200,7200,10875,"A.B.B.E. CONSTRUCTION AND REMODELING, LLC",255
257,92200069,PARCS MANAGEMENT                                  ,POSTED,GS   (GEN SERV),,2021/12/08 00:00:00+00,89000,250000,37123,"FLASHPARKING, INC.",256
258,91400080,FY14 RADIO INFRASTRUCTURE MAINTENANCE             ,CLOSED,GS   (GEN SERV),,2014/06/16 00:00:00+00,147163.92,147163.92,11516,"MOTOROLA SOLUTIONS, INC.",257
259,91100454,FINANCIAL CONSULTING                              ,CLOSED,PRO  (PRO SERVIC),,2010/09/24 00:00:00+00,7500,7500,8779,DAVENPORT & COMPANY LLC,258
260,91800321,BUNCOMBE COUNTY JOINT UTILITY ENERGY INNOVATION   ,CLOSED,GS   (GEN SERV),,2018/06/28 00:00:00+00,15000,15000,416,BUNCOMBE COUNTY FINANCE DEPT,259
261,91100754,PM OF GLASS AROUND IN MULTIPLE MUNI BUILDINGS     ,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,500,269.1,2904,WHOLESALE GLASS & MIRROR CO.,260
262,91800193,LEFT FORK RD NEW FINISHED TRANS WL PRELIM ROUTE   ,CLOSED,PRO  (PRO SERVIC),,2018/05/24 00:00:00+00,21986.5,21986.5,1706,MCGILL ASSOCIATES PA,261
263,91900083,GREEEN OPPORTUNITIES GRID 2.0 PROJ. FY 18-19      ,POSTED,GS   (GEN SERV),STRATEGIC PARTNER,2021/08/20 00:00:00+00,15000,15000,9012,GREEN OPPORTUNITIES INC,262
264,91600103,"APPRAISAL SERVICES FOR 5, 300, 318 RIVERSIDE DRIVE",CLOSED,GS   (GEN SERV),,2018/06/07 00:00:00+00,21000,22400,22492,"THOMAS A. STEITLER, MAI",263
265,91100311,SUBSTANCE ABUSE TESTING - KEYSTONE                ,CLOSED,GS   (GEN SERV),,2012/10/17 00:00:00+00,10000,8624.96,1484,"KEYSTONE LABORATORIES, INC",264
266,92200232,FY 21/22 PLS HOMELESSNESS PREVENTION PRJ.         ,CREATED,HUD (GEN SERV-HUD),CDBG,2021/11/01 00:00:00+00,20000,20000,2037,PISGAH LEGAL SERVICES,265
267,91800276,PHASE ONE ESA CITY-OWNED PROPERTY AT CEDAR HILL   ,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2018/06/13 00:00:00+00,1800,1800,8280,"ECS SOUTHEAST, LLP",266
268,91900108,MUNIS/4J'S YEAR 4 OF 5                            ,POSTED,GS   (GEN SERV),,2022/02/07 00:00:00+00,0,224496.17,6735,TYLER TECHNOLOGIES/MUNIS DIVIS,267
269,92100247,CUSTOMER SERVICE SUPPORT AND MAINTENANCE SOFTWARE ,CLOSED,GS   (GEN SERV),,2021/06/14 00:00:00+00,17506.68,17506.68,4282,CREDITRON DBA PUREPAY RECEIVA,268
270,91300051,CIVIC CTR DOT REPLACEMENT SIGNS                   ,CLOSED,GS   (GEN SERV),,2012/07/09 00:00:00+00,45000,45000,1881,NC DEPT OF TRANSPORTATION,269
271,92000213,HOMEWARD BOUND  - HOMELESS STREET OUTREACH -YEAR 3,POSTED,GS   (GEN SERV),MULTI-YEAR,2021/11/17 00:00:00+00,150000,150000,1211,HOMEWARD BOUND,270
272,91100673,LEASE JOHN DEERE FOR WOOD AVE BRIDGE WL REPAIR    ,CLOSED,LS   (LEASE SVCS),,2012/08/30 00:00:00+00,5000,5000,10783,"JAMES RIVER EQUIPMENT VIRGINIA,LLC",271
273,91200147,CHANGING TOGETHER PROJECT ASSISTANT               ,CLOSED,GS   (GEN SERV),,2012/01/12 00:00:00+00,10000,16450,12674,"LEWIS, MARK A.",272
274,91600127,BLUE RIDGE FOOD VENTURE SPF GRANT FY 15-16        ,CLOSED,GS   (GEN SERV),,2016/06/10 00:00:00+00,25000,25000,22653,"WNC BLUE RIDGE FOOD VENTURES, LLC",273
275,91900240,CLEAN UP 98 DESOTA STREET                         ,CLOSED,GS   (GEN SERV),,2019/05/24 00:00:00+00,18035,18569,31204,"HARPERS PROFESSIONAL JANITORIAL SERVICES, LLC",274
276,92000386,VAND RENTALS FOR SUMMER CAMP                      ,CLOSED,GS   (GEN SERV),,2022/02/16 00:00:00+00,9742.92,10006.65,3507,"EAN HOLDINGS, LLC",275
277,91800307,GASB 74 - OPEB ACTUARIAL ANALYSIS FOR FY17 AUDIT  ,CLOSED,GS   (GEN SERV),SERVICE,2018/06/18 00:00:00+00,8500,8500,7666,CAVANAUGH MACDONALD,276
278,91800356,COMPUTER SOFTWARE PURCHASE                        ,CLOSED,GS   (GEN SERV),,2018/05/30 00:00:00+00,8410.98,7913,2103,"TPM ,INC.",277
